node,actual_4w,implied_4w,gap_4w
coal,-0.06235142600150427,0.0876003538109224,-0.14995177981242666
petrochem,-0.04776523498134823,0.08851954473134659,-0.1362847797126948
upstream_gas_eandp,-0.04755140058610438,0.07856712467174869,-0.1261185252578531
ofs_offshore,-0.023591643051440014,0.09929679563012804,-0.122888438681568
ofs_equipment,-0.039422992005126445,0.08329505106694435,-0.12271804307207082
downstream_retail,0.15353044181682146,0.032403161325000034,0.12112728049182142
power_utilities_regulated_ldc,-0.06182689451083183,0.048205971951883586,-0.11003286646271543
upstream_offshore_drillers,-0.011146180227337904,0.09076259886281052,-0.10190877909014834
lng_terminals,-0.017196154367655585,0.06751398961646934,-0.08471014398412485
power_utilities_regulated_gas,-0.036346088819202094,0.04554763755662018,-0.0818937263758223
upstream_oil_eandp,0.004571681927983594,0.07835935275480109,-0.07378767082681746
iocs_integrated,-0.021754708734877594,0.05005205110762872,-0.07180675984250628
minerals_royalty,0.010798127508586913,0.06548163780676408,-0.05468351029817729
power_renewables,0.007498626481438253,0.05999937599438589,-0.05250074951294763
power_ipps_merchant,0.07582527679245414,0.11997406939630612,-0.044148792603851954
uranium_nuclear_fuel,0.18235883502239084,0.13921314048120026,0.043145694541190584
midstream_gpt,0.025842587294508636,0.06828504670211219,-0.042442459407603515
tanker_shipping,0.09689592776827913,0.06556879368451606,0.03132713408376307
downstream_biofuels,0.09542325756489317,0.06774650462125796,0.02767675294363521
midstream_pipelines,0.03294074812336112,0.05030396288112074,-0.017363214757759683
ofs_onshore,0.11248464405048031,0.10543114069186985,0.0070535033586105675
downstream_refiners,0.06276637756704484,0.06169405262674618,0.0010723249402986267
