node,date,actual_4w,implied_4w,gap_4w
upstream_oil_eandp,2021-06-04,0.1307157019057305,0.04123492604726156,0.08948077585846897
upstream_oil_eandp,2021-06-11,0.16107129380580032,0.07367154775367958,0.08739974605212074
upstream_oil_eandp,2021-06-18,0.10312608068159568,0.06690346026423472,0.03622262041736096
upstream_oil_eandp,2021-06-25,0.15167538447693574,0.09541267115643567,0.05626271332050006
upstream_oil_eandp,2021-07-02,0.024346627270608538,0.05919877778242766,-0.034852150511819134
upstream_oil_eandp,2021-07-09,-0.035656855646729234,0.0272328289890456,-0.06288968463577485
upstream_oil_eandp,2021-07-16,-0.13661663268404128,0.005791527665861038,-0.14240816034990234
upstream_oil_eandp,2021-07-23,-0.20988062583224096,-0.03195632674049687,-0.17792429909174412
upstream_oil_eandp,2021-07-30,-0.16194366099349958,-0.01823359854027627,-0.14371006245322335
upstream_oil_eandp,2021-08-06,-0.12805752915378116,-0.057507089864669694,-0.0705504392891115
upstream_oil_eandp,2021-08-13,-0.01119956763216265,-0.01166637689528733,0.0004668092631246491
upstream_oil_eandp,2021-08-20,-0.11183708828161672,-0.10243764813565032,-0.009399440145966435
upstream_oil_eandp,2021-08-27,0.0019720828577358684,-0.024327859373551503,0.026299942231287336
upstream_oil_eandp,2021-09-03,0.04381084946990407,0.061113214541465094,-0.017302365071561052
upstream_oil_eandp,2021-09-10,0.05676072212993228,0.07089454273613441,-0.01413382060620217
upstream_oil_eandp,2021-09-17,0.2040910287286582,0.15841774141210987,0.04567328731654829
upstream_oil_eandp,2021-09-24,0.11163063016010207,0.07663591719995265,0.03499471296014939
upstream_oil_eandp,2021-10-01,0.1834727543386189,0.06374397409612703,0.11972878024249184
upstream_oil_eandp,2021-10-08,0.26272626357009254,0.08451821618976038,0.1782080473803321
upstream_oil_eandp,2021-10-15,0.20481997130294421,0.1149850359977986,0.08983493530514558
upstream_oil_eandp,2021-10-22,0.19054942272941727,0.12120027101367509,0.06934915171574217
upstream_oil_eandp,2021-10-29,0.09167895624990498,0.08060138992991733,0.01107756631998761
upstream_oil_eandp,2021-11-05,0.057469135016218,0.041093238974698285,0.016375896041519677
upstream_oil_eandp,2021-11-12,0.024714474177464398,0.0022058989286306892,0.02250857524883368
upstream_oil_eandp,2021-11-19,-0.08438795863816602,-0.059050005706315724,-0.025337952931850337
upstream_oil_eandp,2021-11-26,-0.08653056287241301,-0.08035006153092897,-0.006180501341484089
upstream_oil_eandp,2021-12-03,-0.16164569277252505,-0.15855150007043353,-0.003094192702091561
upstream_oil_eandp,2021-12-10,-0.060501643488957674,-0.09548802580905018,0.03498638232009248
upstream_oil_eandp,2021-12-17,-0.05554243280147189,-0.09196025066189867,0.03641781786042676
upstream_oil_eandp,2021-12-24,-0.024809254130841382,0.00014374523189369937,-0.024952999362735102
