node,window,n_weeks,actual,factor,idio,idio_share,contrib_CL,contrib_NG,contrib_CRACK_321,contrib_WTI_BRENT,contrib_SPX,contrib_TNX,contrib_URA,contrib_BDRY
upstream_oil_eandp,1m,4,0.004571681927983594,0.07835935275480106,-0.07378767082681748,-16.14015847759614,0.10606825833123767,9.41947325200896e-05,-0.047017603821730924,-0.04578269503756775,0.038803731892991696,-0.00013599918935739815,0.020123589990387096,0.006205875856320581
upstream_oil_eandp,3m,13,0.18082460589402466,0.3908340605950267,-0.21000945470100202,-1.1613986584551532,0.5242462754268741,-0.004107089802021019,-0.18908769878837758,0.005896235655767116,0.030381885416183897,0.00043877602107917203,0.01662498366472537,0.0064406930007956595
upstream_oil_eandp,ytd,19,0.36161763250626133,0.5166091788776331,-0.1549915463713718,-0.4286061641883244,0.6393979381320329,-0.001791185145119168,-0.21535964784169292,0.003928589969853475,0.030552684478328738,0.0006704153814849091,0.042918213179283723,0.016292170723461473
upstream_oil_eandp,1y,52,0.38187389609497335,0.67118105572774,-0.28930715963276665,-0.7575986800648321,0.5456775461322232,-0.0015613840508141618,-0.1663791549829333,0.021091593339766134,0.13210856683694552,-0.021694336321605993,0.12172678388540197,0.040211440888756673
ofs_onshore,1m,4,0.11248464405048038,0.10543114069186983,0.007053503358610547,0.06270636688368864,0.10912733843298862,3.8387514314511176e-05,-0.058670146386569325,-0.032904352314639736,0.04868620654055845,-0.0001283030884692685,0.03586679838636679,0.003415211607319794
ofs_onshore,3m,13,0.15762778752377593,0.37768881589913317,-0.22006102837535724,-1.3960801698251593,0.5393658915571514,-0.001673776912445069,-0.2359499860919375,0.004237666987238354,0.03811949717988498,0.0004139459868600474,0.029631141240911166,0.003544435951469734
ofs_onshore,ytd,19,0.39074450389726445,0.5156255490949182,-0.12488104519765375,-0.3195977011886207,0.6578386058719712,-0.0007299680519134875,-0.2687330071634218,0.002823505876221264,0.038333795084000206,0.0006324770346665123,0.07649424878661369,0.008965891656780679
ofs_onshore,1y,52,0.7255872267579968,0.7526971581261059,-0.02710993136810913,-0.03736274615698415,0.5614152545626987,-0.0006363163947442044,-0.20761350186056843,0.01515867988023196,0.16575377307877837,-0.020466668702254755,0.21695681625018895,0.0221291213117753
minerals_royalty,1m,4,0.010798127508586865,0.06548163780676412,-0.05468351029817726,-5.064166009772708,0.029552447905052126,0.00011448738569206344,0.007795944116828931,-0.014408262973644384,0.024307082329960056,-0.00010164190621221434,0.01518529270395873,0.0030362882451288216
minerals_royalty,3m,13,0.07976975752303733,0.2093361127488469,-0.12956635522580956,-1.624254093895059,0.14606406278104792,-0.004991892451476899,0.031352451275976245,0.0018556031665056044,0.019031545527299493,0.0003279286545267317,0.012545238859864636,0.00315117493510317
minerals_royalty,ytd,19,0.19895406953318215,0.2729120300172772,-0.07395796048409506,-0.37173384117061314,0.17814730395813183,-0.002177065522336044,0.035708578130853534,0.0012363657787035703,0.019138535929070215,0.0005010492904412903,0.03238615126672962,0.007971111185683154
minerals_royalty,1y,52,0.20631230891493835,0.362431934498945,-0.15611962558400666,-0.7567150326855878,0.15203518478326875,-0.0018977576904406215,0.027587169251970113,0.006637731202218485,0.0827542520769409,-0.016213726774077716,0.09185522285508455,0.019673858793980568
midstream_gpt,1m,4,0.025842587294508657,0.06828504670211218,-0.04244245940760352,-1.6423455950411825,0.03236315714381654,5.0942338616133364e-05,-0.0024800948330899425,-0.010306534634221291,0.03410520484285273,1.085142300595644e-05,0.012357986627940376,0.002183533793191673
midstream_gpt,3m,13,0.1283105768786934,0.18823194932114817,-0.05992137244245477,-0.46700259557795665,0.15995609676852587,-0.002221193837742466,-0.009974039224627128,0.0013273521130162528,0.026703112692575203,-3.501009257553744e-05,0.010209476833733248,0.00226615406824276
midstream_gpt,ytd,19,0.27642055066309057,0.2425349974162812,0.03388555324680936,0.12258695370341717,0.1950907488702026,-0.0009687076734082523,-0.011359837729999172,0.0008843985386776458,0.026853230650752027,-5.349267836497334e-05,0.02635626669088582,0.005732390747535517
midstream_gpt,1y,52,0.29695847599918174,0.3683672176677957,-0.07140874166861394,-0.24046709368487837,0.16649512731867322,-0.0008444267837316786,-0.008776203997370205,0.004748109237973758,0.11611227873377505,0.0017309987020626713,0.07475296248018265,0.014148371976230183
ofs_offshore,1m,4,-0.02359164305143997,0.099296795630128,-0.12288843868156797,5.20898177433501,0.10698931724742254,-1.0543459014145734e-05,-0.06573194853192467,-0.032514402890779164,0.049990235024117195,-8.677457452582892e-05,0.03390393071970274,0.006756982095129336
ofs_offshore,3m,13,0.10378067766118992,0.3435384681381203,-0.23975779047693035,-2.3102353528627106,0.5287986430612206,0.0004597171395522461,-0.2643499854204212,0.00418744640291002,0.039140503202609235,0.0002799619815469885,0.02800952984304946,0.007012651927652898
ofs_offshore,ytd,19,0.3481314639043826,0.47669711996312686,-0.12856565605874426,-0.36930202923013,0.6449502417257017,0.00020049196657873438,-0.3010789180464543,0.0027900445128377473,0.03936054093717727,0.0004277599723851563,0.07230797918954611,0.01773897970535438
ofs_offshore,1y,52,0.5465087815380754,0.7381841715390616,-0.1916753900009862,-0.35072700837769094,0.550416015275908,0.00017476973822914038,-0.23260279476574722,0.014979034390502828,0.1701933804483112,-0.013842117830426543,0.20508350893425797,0.04378237534802609
midstream_pipelines,1m,4,0.03294074812336108,0.05030396288112074,-0.017363214757759662,-0.52710444500943,0.039873345774419054,3.486099932904181e-05,-0.015430761679300247,-0.017499573873997084,0.030299484453326836,3.251995329571124e-05,0.012225466979083242,0.0007686202749641852
midstream_pipelines,3m,13,0.09588805027194215,0.1702684371390493,-0.07438038686710714,-0.7757002739774304,0.19707548082639628,-0.001520013391428578,-0.06205691016398012,0.0022537251542733535,0.023723374529259694,-0.0001049195644488338,0.010099996517420034,0.0007977032315574787
midstream_pipelines,ytd,19,0.2124276147724179,0.22231097840214525,-0.00988336362972736,-0.04652579487048234,0.24036347419764081,-0.0006629086624230436,-0.07067913145431858,0.0015016296079049523,0.023856741174054886,-0.00016030887388101693,0.026073637868552865,0.0020178445446143523
midstream_pipelines,1y,52,0.3610509860729269,0.34528658665035344,0.01576439942257346,0.043662529755255364,0.2051319576712498,-0.000577860426921432,-0.05460416695583293,0.008061864760619186,0.10315557993405954,0.005187522126371417,0.07395135647127929,0.0049803330695285565
ofs_equipment,1m,4,-0.03942299200512645,0.08329505106694429,-0.12271804307207074,3.1128546269677564,0.1259142384037682,1.8420611558819614e-05,-0.08782531119273951,-0.033922475002945505,0.04576334112123716,-7.539369783483674e-05,0.030093279048679585,0.0033289517752203876
ofs_equipment,3m,13,0.06148923586550938,0.3370904613672165,-0.2756012255017071,-4.482105227401235,0.622335763261483,-0.0008031776709391155,-0.35320145305092854,0.004368788392210428,0.03583100177172079,0.00024324370539798,0.02486138272750093,0.003454912230770969
ofs_equipment,ytd,19,0.32358238723902,0.46864250353624937,-0.14506011629722937,-0.44829422742986963,0.7590329631454332,-0.0003502820689164451,-0.4022754575449814,0.002910870470596414,0.036032434349537706,0.00037165732335852676,0.0641808825409317,0.008739435320289623
ofs_equipment,1y,52,0.7603483343735891,0.6996950505572126,0.06065328381637647,0.07977039085164238,0.6477769477529068,-0.00030534243608632504,-0.31078361878593946,0.01562771801121385,0.15580278272896764,-0.012026661666785227,0.18203303073216962,0.021570194220765802
upstream_offshore_drillers,1m,4,-0.01114618022733778,0.09076259886281053,-0.10190877909014831,9.142933005892084,0.06448019308238732,1.6833174008982228e-05,-0.022102762064847084,-0.0263459052717958,0.0415217729947456,-0.00014082527623300535,0.030828534386706057,0.0025047578378384577
upstream_offshore_drillers,3m,13,0.20379054480764164,0.29349822074648674,-0.0897076759388451,-0.4401954763088758,0.31869573041053634,-0.0007339620322526122,-0.08888926861426609,0.0033930214444465763,0.03251001096703793,0.00045434649033466507,0.025468809533052594,0.0025995325475973983
upstream_offshore_drillers,ytd,19,0.39544471240480833,0.3951105354160558,0.00033417698875254365,0.0008450662716421753,0.38869783624128584,-0.0003200957253492327,-0.10123959257179686,0.0022607288433447678,0.03269277379783087,0.000694205838538935,0.0657489847211938,0.006575694271007722
upstream_offshore_drillers,1y,52,0.5378061551385585,0.586976591769618,-0.04917043663105958,-0.09142780565311953,0.33172406230570467,-0.0002790288662542649,-0.07821408528348753,0.012137274131737935,0.1413622261382426,-0.022464184673580866,0.18648056060508444,0.01622976741217109
iocs_integrated,1m,4,-0.021754708734877552,0.05005205110762871,-0.07180675984250626,3.300745632479295,0.03701035295055206,2.1581237911085193e-05,0.0020154531101157763,-0.02397142492605768,0.016342545863371506,-3.9273275622035064e-05,0.01417644724523949,0.004496368902118516
iocs_integrated,3m,13,0.0187284804308378,0.22247728848054169,-0.20374880804970388,-10.879089139245739,0.18292503329289403,-0.0009409876727523306,0.008105419239411186,0.003087218221919571,0.01279560835022053,0.00012670789946326092,0.011711787210360168,0.004666501939025252
iocs_integrated,ytd,19,0.22432300260680502,0.289082967808037,-0.06475996520123198,-0.28869070246328554,0.2231048547268595,-0.0004103838051811865,0.009231590654463922,0.0020569758824885652,0.012867541934191793,0.00019359974263608606,0.030234554832746036,0.011804233839832338
iocs_integrated,1y,52,0.3471824040905075,0.3724819255983959,-0.02529952150788839,-0.0728709785110337,0.19040303760316374,-0.00035773338667326903,0.00713199648880879,0.011043376671038418,0.05563872872925904,-0.006264799472859583,0.0857527573811831,0.029134561584475638
downstream_refiners,1m,4,0.06276637756704484,0.06169405262674616,0.0010723249402986787,0.017084384695504513,0.08218313760610899,7.212897452846678e-05,-0.04702651920957244,-0.033581226893271636,0.034129129480789035,-0.00017623798409820938,0.019825464667250218,0.006268175985011749
downstream_refiners,3m,13,0.1781999437705939,0.26842398016617564,-0.09022403639558174,-0.5063078836418258,0.40619318607410737,-0.003144976027751004,-0.1891235532350897,0.0043248399249987204,0.02672184479830176,0.0005685989879131594,0.01637868920983143,0.006505350433863902
downstream_refiners,ytd,19,0.3623046165378061,0.368002746841543,-0.0056981303037368924,-0.015727457072417125,0.4954142696532958,-0.0013715878186767384,-0.2154004839249863,0.0028815881424198806,0.026872068063507636,0.000868774702993515,0.04228239192777525,0.016455726095213934
downstream_refiners,1y,52,0.6461002339696653,0.5192817462706808,0.12681848769898452,0.19628299299600424,0.42279842780392995,-0.0011956191967136744,-0.16641070347913145,0.01547050869115746,0.11619373094147957,-0.028113153598443987,0.11992343583480147,0.04061511927360148
upstream_gas_eandp,1m,4,-0.04755140058610437,0.07856712467174869,-0.12611852525785305,2.6522567937716612,0.051418956970209935,0.00041987789101249743,-0.011985737893136821,-0.020304462797968815,0.03658951018023499,-0.0001300399115677195,0.02084809608088536,0.0017109241520792586
upstream_gas_eandp,3m,13,-0.03469668889995571,0.23831217957738857,-0.2730088684773443,7.868441546815517,0.25414008961838985,-0.018307565169886002,-0.04820227770617308,0.0026149595916610526,0.028648231793678827,0.00041954952267564725,0.017223530043640935,0.0017756618834013436
upstream_gas_eandp,ytd,19,-0.004193079436536899,0.3272262873203624,-0.3314193667568993,79.0396108094297,0.309962429711825,-0.00798430040644947,-0.05489952872918979,0.0017423157117751247,0.028809284705815143,0.0006410387983477639,0.04446339010132137,0.00449165742691726
upstream_gas_eandp,1y,52,0.004645230512891667,0.46553187032111004,-0.46088663980821837,-99.21717308304585,0.2645293767015617,-0.006959950145583542,-0.04241341073160655,0.009354046806675707,0.12457017702592929,-0.020743723474470427,0.1261092919937399,0.011086062144864031
lng_terminals,1m,4,-0.01719615436765553,0.0675139896164693,-0.08471014398412482,4.926109766928892,0.024397272244757455,0.00021729890311101492,0.0235354987623248,-0.039976434368008795,0.04518437213413462,-0.00011793389949162377,0.012411492709753804,0.0018624231298880157
lng_terminals,3m,13,0.15952474390920887,0.2588541575187638,-0.09932941360955491,-0.6226583486389219,0.12058441711136093,-0.009474692321752281,0.09465121441913735,0.005148462263256264,0.03537769049036823,0.00038049173244186497,0.010253680563611298,0.0019328932603401468
lng_terminals,ytd,19,0.3217618441293119,0.3216890674812515,7.277664806043527e-05,0.00022618172225289483,0.14707100705498843,-0.004132105446768236,0.10780210630151742,0.003430357670289927,0.035576574669998064,0.0005813615551038495,0.02647038079412256,0.004889384881999414
lng_terminals,1y,52,0.1600948232528833,0.4457761114318608,-0.28568128817897753,-1.7844505048593595,0.12551392716626025,-0.0036019746805331003,0.08328404848159518,0.01841671173293791,0.1538316639886341,-0.01881259507044691,0.07507661861015592,0.012067711203257506
power_ipps_merchant,1m,4,0.07582527679245413,0.11997406939630605,-0.04414879260385192,-0.5822437381230299,0.00024502183544700747,-5.998278286350186e-05,0.005519717732135444,0.017762519848460116,0.06371590175194265,1.704342813059959e-05,0.027579278696954417,0.0051945688860993355
power_ipps_merchant,3m,13,0.10692153651595832,0.10174489461292043,0.00517664190303789,0.04841533400771193,0.0012110294507732136,0.0026153763507209674,0.02219829678875519,-0.002287589290687716,0.04988719207613062,-5.498744232247524e-05,0.022784456354000473,0.005391120325550161
power_ipps_merchant,ytd,19,-0.03107259099179894,0.1489160291082494,-0.17998862010004832,5.79252049330399,0.001477034306464177,0.0011406186604447182,0.025282540375416242,-0.001524192869352125,0.05016764490198137,-8.401650352458508e-05,0.0588191949355056,0.013637205301313982
power_ipps_merchant,1y,52,0.26492002482027677,0.433730343402563,-0.16881031858228623,-0.6372123764400525,0.0012605365263753008,0.0009942823550833492,0.019532385688965103,-0.008183001132323647,0.2169228590792586,0.002718735778392597,0.1668259440419489,0.03365860106486277
petrochem,1m,4,-0.047765234981348215,0.08851954473134654,-0.13628477971269476,2.8532211715468883,0.0056678924244554525,1.0135555642191241e-05,0.022573977219145343,-0.01354570485477874,0.06310051788088078,-4.659718851087583e-05,0.009369895569158949,0.001389428125353452
petrochem,3m,13,0.16342526652098277,0.17883926736580455,-0.015414000844821779,-0.09431834607314359,0.02801376717020988,-0.0004419316887701975,0.090784324549024,0.001744516522710307,0.049405369288850046,0.00015033713851446564,0.007740883254521809,0.001442001130744233
petrochem,ytd,19,0.3991996955912153,0.21207853382585026,0.18712116176536506,0.4687407426206534,0.03416704287189834,-0.00019273537084411532,0.10339794862226914,0.0011623501015703074,0.04968311343223886,0.00022970336852190702,0.019983470926255652,0.0036476398739401575
petrochem,1y,52,0.31041910213475093,0.38818857295993664,-0.0777694708251857,-0.2505305578502269,0.029158974405516472,-0.00016800827925788392,0.07988155390831483,0.006240359988922731,0.21482776468254575,-0.007433096358682258,0.056678120232057906,0.00900290438051911
power_utilities_regulated_gas,1m,4,-0.03634608881920207,0.045547637556620196,-0.08189372637582226,2.2531647568240363,-0.03326897866879078,-1.2500168036232951e-05,0.040337937562142226,0.009571048104536581,0.028860144060560762,0.00017540111461668338,0.000320913379421803,-0.0004363278278308469
power_utilities_regulated_gas,3m,13,0.037993267321100366,0.018946569483062,0.019046697838038366,0.5013177118215463,-0.1644331530353146,0.0005450337963878388,0.16222451098134105,-0.0012326306926825452,0.022596424291367705,-0.0005658989846043045,0.00026512067147203204,-0.00045283754490517446
power_utilities_regulated_gas,ytd,19,0.09300317994175852,0.005027033496093022,0.0879761464456655,0.9459477245913407,-0.20055119881532602,0.00023770029065286213,0.1847640739196508,-0.0008212868105211725,0.022723455514872242,-0.0008646493094866764,0.000684422055740978,-0.0011454833494900067
power_utilities_regulated_gas,1y,52,0.16180028467633226,0.09273375878427828,0.06906652589205398,0.42686282060761327,-0.17115520635417597,0.00020720439967392506,0.1427421097593585,-0.004409278533965254,0.09825529877029872,0.027979657743981198,0.001941192083593052,-0.0028272190844858803
power_renewables,1m,4,0.007498626481438212,0.05999937599438588,-0.05250074951294767,-7.001382138836472,-0.0038285353457632645,-3.394584447806819e-06,0.014994904477612418,-0.0019098568084687647,0.03628913660612764,0.0002643046738323626,0.014157383822373444,3.543315311985341e-05
power_renewables,3m,13,0.015613308501681295,0.08106848325881098,-0.06545517475712968,-4.192268073744988,-0.01892267702830217,0.00014801107020196753,0.060304051052316884,0.0002459655510070507,0.028413050406080703,-0.0008527297382047507,0.011696038077432438,3.677386827883909e-05
power_renewables,ytd,19,0.1143146071085899,0.10338888225463404,0.010925724853955862,0.09557592971104105,-0.02307907798864747,6.455062904358618e-05,0.06868272913188944,0.00016388384946430112,0.028572781189590526,-0.0013029042273914758,0.03019389767133087,9.302199935424914e-05
power_renewables,1y,52,0.33294588206687714,0.2858776663594322,0.04706821570744496,0.14136896787926215,-0.019696239059874485,5.62690701926134e-05,0.053061817984052066,0.000879850413095009,0.12354754542697782,0.04216138723020803,0.08563744350545617,0.00022959178932496633
tanker_shipping,1m,4,0.09689592776827916,0.06556879368451607,0.031327134083763086,0.3233070244054019,0.04817729293978958,-2.2424615159863652e-05,-0.030639523595221898,-0.010590795518701351,0.0340968321741945,-0.000240023560421229,0.017765583010899554,0.00702185284913677
tanker_shipping,3m,13,0.2774043092416817,0.16667417327238548,0.1107301359692962,0.3991651617524993,0.23811804569243006,0.000977760706711271,-0.12322101803739728,0.0013639613419232862,0.02669655720300261,0.000774391254128119,0.01467693028389147,0.007287544827695954
tanker_shipping,ytd,19,0.4667388420569009,0.23576831715534702,0.2309705249015539,0.4948603032129816,0.29042111424405587,0.00042642127096433166,-0.14034141417590662,0.0009087908218028238,0.02684663830792114,0.0011832091616538066,0.037889217544199306,0.018434339980656377
