long,short,thesis,z_60d,corr_now,corr_min,corr_max,pair_vol,pair_sharpe,ret_1m,ret_3m,n_obs,note
downstream_refiners,upstream_oil_eandp,Long refining margin (crack spread),2.1788602855316848,0.6281612209331239,0.5890491754944553,0.8591849390686339,0.24342381621658857,0.26171230856455896,0.07176892377547171,0.025458847279657,1254,ok
ofs_onshore,upstream_oil_eandp,Service intensity vs E&P capex,1.3078403684446513,0.7128566636560443,0.7128566636560443,0.9131370192440279,0.1993214398761526,-0.24862722130991538,0.1670611792485064,-0.0017183872165171254,1254,ok
upstream_offshore_drillers,upstream_oil_eandp,Offshore renaissance vs onshore,-0.7989469588051074,0.6850219774989977,0.6672288894130587,0.8281956930593442,0.2640586489188607,-0.009677815190351503,0.013512366090193358,0.03228940696231247,1254,ok
upstream_gas_eandp,upstream_oil_eandp,Gas vs oil commodity exposure,0.0,0.5850116109632622,0.3916219223532605,0.8116583402564118,,0.0,-0.015862739756200228,-0.20739975326078772,1254,ok
lng_terminals,upstream_gas_eandp,LNG terminal margin vs gas producer,0.0,0.5253275264743914,0.22850254937199313,0.6817967948835042,,0.0,-0.02778414016369357,0.19618301826323853,1254,ok
midstream_pipelines,upstream_oil_eandp,Fee-based vs commodity exposure,0.014485174461142199,0.558488322948357,0.5285593764430367,0.815515226769553,0.26010316284130264,0.3475681529961958,0.09272316136340056,-0.0963315546920956,1254,ok
midstream_gpt,midstream_pipelines,Wellhead activity vs long-haul,-0.18574484525108778,0.7271931739551131,0.7191670739632231,0.9013520176683856,0.1264161912754949,0.2759029506040735,-0.01623682858093532,0.06293366391232966,1254,ok
power_ipps_merchant,power_utilities_regulated_gas,Merchant power AI thesis,1.6936494135242757,0.15652531317128277,0.06912361582299398,0.6984992936981285,0.33458759200209026,1.1557340916096337,0.1258269247106822,0.16071176197733827,1254,ok
coal,upstream_gas_eandp,Coal-gas substitution in power,0.0,0.2942113282376431,0.2514435861681509,0.6973628797278254,,0.0,-0.07377014000143894,-0.08258059445458614,1254,ok
minerals_royalty,upstream_oil_eandp,Royalty (no opex) vs operating E&P,-0.6615754416564459,0.804071651489617,0.7791598603135487,0.9109962817440872,0.20124827887912117,0.6417863904593788,0.051214223050558616,-0.08504191073340026,1254,ok
tanker_shipping,downstream_refiners,Crude/product shipping vs refining,0.4335970762377114,0.23770672984455085,0.2216861259232439,0.6449133369498449,0.3202118688707471,0.29126200919194756,0.07858452914136692,0.10294119453811258,1254,ok
petrochem,midstream_gpt,Petchem demand vs NGL feedstock supply,0.2992440706401693,0.16850400977180774,0.15215692976308212,0.7108713200103263,0.2837873263342514,-1.049349970856915,-0.08046348154133162,0.008638495718425013,1254,ok
uranium_nuclear_fuel,power_ipps_merchant,Nuclear fuel vs nuclear power,1.230679651579471,0.4292500699576718,0.14682481868526465,0.5611127566115302,0.634781728197083,-0.0942481791352761,0.13562983569525347,-0.21568758964923979,1254,ok
