driver,basket,current_beta,long_run_mean,long_run_std,z_score,direction
SPX,lng_terminals,-1.1486846546119944,0.7401250321381121,0.3825801334123019,-4.937030237047253,decreased
SPX,downstream_biofuels,-0.561626710340982,1.0069683447728242,0.38131165253260085,-4.113682455533395,decreased
SPX,upstream_oil_eandp,-1.1763181971950536,0.8933173085402019,0.5042107526016765,-4.104703231845305,decreased
SPX,petrochem,-0.5653278591790089,1.0467108092196977,0.4013178494026132,-4.0168626209831615,decreased
SPX,downstream_refiners,-0.8703654440428126,0.7540775723854947,0.4226344528595272,-3.8436123828461994,decreased
SPX,upstream_gas_eandp,-0.5535270566963522,0.8364386311094179,0.4223126610886451,-3.291319005740182,decreased
SPX,iocs_integrated,-0.8147536605371923,0.4473450514493485,0.3950610907894452,-3.1946925207554764,decreased
SPX,coal,-0.8907481875367205,0.7700070849251116,0.5271978187164593,-3.150155811541833,decreased
TNX,lng_terminals,0.2966962517049698,0.028156579636297682,0.08616730060029301,3.1164916412358745,increased
SPX,minerals_royalty,-0.28588535800925097,0.5753119147902406,0.2895308760637919,-2.974457455134233,decreased
NG,tanker_shipping,-0.12259237648466853,0.013114219183857623,0.046694499404246304,-2.906265136149747,decreased
SPX,upstream_offshore_drillers,-0.17947242319381235,0.9898015812899272,0.409249849496955,-2.8571152950233145,decreased
TNX,downstream_refiners,0.32009961127388725,0.06441897353495901,0.09008027980159831,2.838364160303059,increased
CL,ofs_equipment,-0.017953353084940386,0.5807758158134797,0.22141514944703775,-2.70410209235315,decreased
TNX,coal,0.30501761776779557,0.0314193936496128,0.10640128894887038,2.5713807306381082,increased
CL,ofs_offshore,0.01353496972626479,0.5764971464310595,0.21893406428661857,-2.5713777275325693,decreased
NG,downstream_retail,0.07772062139234727,-0.0009008772424340287,0.032412301250387666,2.4256685147846744,increased
SPX,ofs_onshore,0.13538351138784066,1.1365687666571411,0.41281743095971085,-2.4252494690976643,decreased
CL,tanker_shipping,-0.07740616888597847,0.2907004716378803,0.15450552175576027,-2.3824821038160406,decreased
SPX,midstream_gpt,0.02404223532806508,0.6925068737800936,0.28273737646998937,-2.364259889505558,decreased
CL,ofs_onshore,0.05427501452820859,0.5994529507340737,0.23231365151006084,-2.346732241786725,decreased
TNX,iocs_integrated,0.1612227970292833,0.042480459373812535,0.05097757119972941,2.329305513403923,increased
SPX,midstream_pipelines,-0.11054932795684336,0.5868149514912528,0.3007686697815865,-2.318606788248627,decreased
TNX,upstream_oil_eandp,0.31329221100214666,0.07524849443924356,0.10328004710890233,2.3048374127085838,increased
SPX,downstream_retail,-0.12375140102925948,0.46789760851551115,0.2688274548981692,-2.2008503921925864,decreased
TNX,downstream_biofuels,0.2407855765511408,0.03949099042335364,0.09897890217995822,2.0337120506934294,increased
TNX,power_ipps_merchant,-0.17261845134016482,0.006982771580757186,0.08883980255629345,-2.021630144969283,decreased
