ticker,name,assigned_node,home_corr,top1_node,top1_corr,top2_node,top2_corr,is_home_top
NE,Noble Corp,upstream_offshore_drillers,0.7384835116361199,upstream_offshore_drillers,0.7384835116361199,ofs_equipment,0.712023870696732,True
RIG,Transocean,upstream_offshore_drillers,0.6725717950328468,ofs_onshore,0.7525710247641314,ofs_equipment,0.7525644981499323,False
VAL,Valaris,upstream_offshore_drillers,0.751081656690606,upstream_offshore_drillers,0.751081656690606,ofs_offshore,0.6940018609055355,True
SDRL,Seadrill,upstream_offshore_drillers,0.6827881975104494,upstream_offshore_drillers,0.6827881975104494,ofs_offshore,0.6764670099857162,True
SOC,Sable Offshore,upstream_offshore_drillers,0.18483139297892737,upstream_oil_eandp,0.20348644587634468,petrochem,0.19510364982404282,False
TDW,Tidewater,ofs_offshore,0.6937401099449483,ofs_offshore,0.6937401099449483,ofs_equipment,0.6759663807266366,True
OII,Oceaneering International,ofs_offshore,0.7888697071753585,ofs_onshore,0.8041973925975843,ofs_equipment,0.8000142776164756,False
HLX,Helix Energy Solutions,ofs_offshore,0.7488883505994799,ofs_onshore,0.7611982571379868,ofs_equipment,0.7593416011318451,False
VTOL,Bristow Group,ofs_offshore,0.6275177246899263,ofs_onshore,0.6644608734877548,ofs_equipment,0.6364941779075074,False
INVX,Innovex International,ofs_offshore,0.7279487394812093,ofs_equipment,0.7406412004055998,ofs_onshore,0.738559521024267,False
FRO,Frontline,tanker_shipping,0.7994858768306299,tanker_shipping,0.7994858768306299,ofs_offshore,0.36921324991814103,True
INSW,International Seaways,tanker_shipping,0.845550857934395,tanker_shipping,0.845550857934395,ofs_offshore,0.4494263759140515,True
DHT,DHT Holdings,tanker_shipping,0.8100815491289032,tanker_shipping,0.8100815491289032,minerals_royalty,0.36504035802363505,True
TNK,Teekay Tankers,tanker_shipping,0.8523492703241071,tanker_shipping,0.8523492703241071,minerals_royalty,0.3969444731340178,True
NAT,Nordic American Tankers,tanker_shipping,0.72977858753685,tanker_shipping,0.72977858753685,upstream_oil_eandp,0.3586899972644649,True
TEN,Tsakos Energy Navigation,tanker_shipping,0.7562084005241223,tanker_shipping,0.7562084005241223,minerals_royalty,0.4217229755995879,True
STNG,Scorpio Tankers,tanker_shipping,0.786989949797504,tanker_shipping,0.786989949797504,upstream_oil_eandp,0.4428022390379001,True
ASC,Ardmore Shipping,tanker_shipping,0.7635324957986966,tanker_shipping,0.7635324957986966,upstream_oil_eandp,0.4261301867935303,True
NVGS,Navigator Holdings,tanker_shipping,0.647461171240951,tanker_shipping,0.647461171240951,ofs_onshore,0.49129653924086475,True
LPG,Dorian LPG,tanker_shipping,0.6596506872834026,tanker_shipping,0.6596506872834026,ofs_offshore,0.47029348199406656,True
GLNG,Golar LNG,tanker_shipping,0.5487821868866999,upstream_oil_eandp,0.5625286344002814,ofs_onshore,0.5568959597203055,False
FLNG,FLEX LNG,tanker_shipping,0.5232127570857803,tanker_shipping,0.5232127570857803,minerals_royalty,0.3912960268731504,True
TK,Teekay Corporation,tanker_shipping,0.7741468208613054,tanker_shipping,0.7741468208613054,ofs_offshore,0.46242474099743563,True
SFL,SFL Corporation,tanker_shipping,0.6619744215689555,tanker_shipping,0.6619744215689555,ofs_offshore,0.5004698407393545,True
LNG,Cheniere Energy,lng_terminals,0.539542108527177,midstream_gpt,0.6569967842236182,upstream_oil_eandp,0.5846420189553484,False
CQP,Cheniere Energy Partners,lng_terminals,0.4590904363348744,midstream_pipelines,0.6019026023103075,midstream_gpt,0.6006765544018065,False
VG,Venture Global,lng_terminals,0.5189912409139368,lng_terminals,0.5189912409139368,minerals_royalty,0.5134962464557091,True
NEXT,NextDecade,lng_terminals,0.42537064130630153,lng_terminals,0.42537064130630153,midstream_gpt,0.40710939845680966,True
EE,Excelerate Energy,lng_terminals,0.4432815721686177,midstream_gpt,0.5362361625180319,minerals_royalty,0.4778648870590989,False
WMB,Williams Companies,midstream_gpt,0.8254511151730705,midstream_gpt,0.8254511151730705,midstream_pipelines,0.68280286069852,True
KMI,Kinder Morgan,midstream_gpt,0.8171473042208116,midstream_gpt,0.8171473042208116,midstream_pipelines,0.699761259038667,True
OKE,ONEOK,midstream_gpt,0.8245807533960804,midstream_gpt,0.8245807533960804,upstream_oil_eandp,0.7360018392181135,True
TRGP,Targa Resources,midstream_gpt,0.8397655943466152,midstream_gpt,0.8397655943466152,upstream_oil_eandp,0.7534642895185927,True
AM,Antero Midstream,midstream_gpt,0.7894566749893901,midstream_gpt,0.7894566749893901,midstream_pipelines,0.7108669942469314,True
DTM,DT Midstream,midstream_gpt,0.7560942547604105,midstream_gpt,0.7560942547604105,midstream_pipelines,0.6353238848624932,True
HESM,Hess Midstream,midstream_gpt,0.6925267959588498,midstream_gpt,0.6925267959588498,midstream_pipelines,0.6620065143372708,True
KNTK,Kinetik Holdings,midstream_gpt,0.6542794076583651,midstream_gpt,0.6542794076583651,midstream_pipelines,0.5821380116448176,True
AROC,Archrock,midstream_gpt,0.7624915185014484,midstream_gpt,0.7624915185014484,ofs_onshore,0.7169602579784802,True
