ticker,name,node,r2_adj,n_obs,dominant,dominant_t,beta_CL,t_CL,varshare_CL,beta_NG,t_NG,varshare_NG,beta_CRACK_321,t_CRACK_321,varshare_CRACK_321,beta_WTI_BRENT,t_WTI_BRENT,varshare_WTI_BRENT,beta_SPX,t_SPX,varshare_SPX,beta_TNX,t_TNX,varshare_TNX,beta_URA,t_URA,varshare_URA,beta_BDRY,t_BDRY,varshare_BDRY
XOM,ExxonMobil,iocs_integrated,0.3853903488834213,261,CL,1.315620436138823,0.3709412068838851,1.315620436138823,0.289767308519234,0.004328594646169933,0.8093348040122514,0.0009297154831103145,-0.001165914905001667,-0.07599753600006089,0.0009464164313721986,-0.003464874116896897,-2.1576152578076577,0.008358406423143122,0.20351783319701575,1.9341328396787472,0.014533555968947546,0.0010362195609259887,0.5742242966855843,0.0007475704662561433,0.0951830670744658,1.9764835176972992,0.020367319864254715,0.03500864142183997,1.6179713410528036,0.005626113205028002
CVX,Chevron,iocs_integrated,0.40146449466988987,261,CRACK_321,-0.689525609988719,0.1478751192027383,0.545842769177448,0.05005315948082274,-0.00023995650895177313,-0.030791774779136718,3.1054415029097193e-06,-0.010628951191784895,-0.689525609988719,0.08549317461396938,-0.004189743640819065,-2.9936130199421767,0.013283897607700624,0.31362094072730035,2.570744213746312,0.037512767800598125,0.002324140877143503,1.1580997439175682,0.004087667073580764,0.12639599645863292,2.6647495635790315,0.039037606820523554,0.04599204922901031,2.076122453269187,0.010554205061270796
COP,ConocoPhillips,upstream_oil_eandp,0.4637500879452492,261,CL,1.1137605795785879,0.38961152108093455,1.1137605795785879,0.21073953220501457,0.0013659101930323559,0.18561058070353723,6.103004976119475e-05,-0.006449539455491577,-0.332011452166614,0.01909190107693676,-0.0047537888327643316,-2.5811470692544085,0.010372215700853003,0.47831892552086847,4.290856401808463,0.05292310072588864,0.004458971904258179,2.1138136402728396,0.009125596025167677,0.06656391183428997,1.3216710901497717,0.0065665215217034925,0.07211688474282948,2.343081348446309,0.015738925233056488
EOG,EOG Resources,upstream_oil_eandp,0.4739986966251519,261,CL,1.239959687929105,0.4784741175427774,1.239959687929105,0.29432818466856514,0.01113160845078913,1.5542529371960025,0.0037535983306102813,-0.002300063844038018,-0.10243134046214598,0.0022485578804450046,-0.004716719683644278,-2.0939112923058314,0.009455933787387441,0.49178728215162065,4.126895608556962,0.05180805164961942,0.004461053165587045,1.8740318559472415,0.008458611669763968,0.09678893625871467,1.863451625501714,0.012857059500958376,0.05166329912853259,1.8459078740723476,0.0074799371648232756
FANG,Diamondback Energy,upstream_oil_eandp,0.4837707856489085,261,CL,2.1691073657947304,0.8680426665445163,2.1691073657947304,0.7463882816141186,0.006224221206708234,0.8947924782018977,0.0009042108363580409,0.016846711649138223,0.7510861324620035,0.09294419920580162,-0.0054532130673866416,-2.152987632629176,0.009738609200952313,0.6542388581149702,4.9900701149768505,0.07064526513951455,0.00747466352416522,3.2454642619748304,0.018296806698759806,0.1034831566682016,2.0117312213042835,0.011323932504017217,0.07140401770057497,2.126883506993579,0.011008970081403911
OXY,Occidental Petroleum,upstream_oil_eandp,0.43629273095130694,261,CL,0.9733777282175049,0.49913298137733336,0.9733777282175049,0.23666589873491387,0.012029917572858047,2.0320919629026624,0.003239257361894127,-0.00715383117347267,-0.23204007347067987,0.01607273781034506,-0.006060927211725463,-2.185416686019431,0.011536939719192348,0.35529132979962735,2.2331568732443947,0.019980211890653563,0.001121093961932396,0.34239913866872973,0.0003947267089356183,0.1041596143484166,1.6964529819657965,0.011002139421766458,0.09666101005040519,2.5365563704574234,0.019347485641211245
DVN,Devon Energy,upstream_oil_eandp,0.4020843645641341,261,CL,1.905147477917355,0.8602871208151639,1.905147477917355,0.6537488929642199,0.018915935446040442,1.9419962537606894,0.007447264395137378,0.015435901836025922,0.6262102687611336,0.06958209132789903,-0.006320446620721829,-2.5688994681329973,0.011666188709726424,0.6142969725690264,5.124830295088436,0.05554034786221466,0.004689610032479925,1.665909703808464,0.006422541539576844,0.054177414360560255,0.7849734392985723,0.0027678078781397893,0.07266743209509559,1.8042759750120356,0.010167694221027954
CTRA,Coterra Energy,upstream_oil_eandp,0.3669224280779748,261,CRACK_321,-1.8649078016603156,-0.2714139357983293,-0.7255081792879934,0.08620721181316805,0.029403357811984956,2.75275480159181,0.02383911744627085,-0.03948004838579158,-1.8649078016603156,0.6030370607734334,-0.005725364294062996,-1.679514078835041,0.012682208862373544,0.527676603396181,3.597450236565072,0.05429285900600904,0.006087557430637459,2.5302673112180964,0.014337544989170007,0.08058787473227967,1.1748267713291856,0.008113233724296945,0.06750627656133977,2.213054145177183,0.01162482297089595
OVV,Ovintiv,upstream_oil_eandp,0.513164357349382,261,CL,2.0605915788734155,0.8102591822931469,2.0605915788734155,0.4749979096789146,0.011075629559394978,1.067949355710756,0.0020912098753974803,0.007614847095351082,0.35312401154004586,0.013869968908721268,-0.009186883647842346,-3.531383474784676,0.020187825645437554,0.7091560795187084,4.933344852864115,0.0606254755073697,0.00612330063736638,2.232385479341321,0.008968592224991134,0.20149518062039729,2.930744499169122,0.03135800105335311,0.08971272126210475,2.537287466040242,0.01269318361257282
APA,APA Corporation,upstream_oil_eandp,0.48380909161632635,261,CL,2.190090541955312,1.0224138536645322,2.190090541955312,0.6968002933489107,0.011005323448983584,1.1458849233285628,0.001902293386465081,0.016495850838730626,0.6338672324833372,0.05996718369816191,-0.008999807330110332,-2.8004567997362164,0.017849688248202496,0.5862340069286406,3.252697927611003,0.03817021542556857,0.007027457279257159,2.7627432337418356,0.010883300973387793,0.16088820514674812,2.247062051658,0.018419530485049136,0.018661655984230953,0.4642860599962402,0.0005060273124785295
