node,r2_adj,r2,n_obs,dominant,dominant_t,beta_CL,t_CL,varshare_CL,beta_NG,t_NG,varshare_NG,beta_CRACK_321,t_CRACK_321,varshare_CRACK_321,beta_WTI_BRENT,t_WTI_BRENT,varshare_WTI_BRENT,beta_SPX,t_SPX,varshare_SPX,beta_TNX,t_TNX,varshare_TNX,beta_URA,t_URA,varshare_URA,beta_BDRY,t_BDRY,varshare_BDRY
upstream_oil_eandp,0.5923252505289638,0.6048690889742265,261,CL,3.338106753419183,0.9654391004836169,3.338106753419183,1.0620496581793233,0.008336145131668101,1.0928599506182706,0.0018657033526957463,0.02003439894440661,1.2588944207669466,0.1512018233929101,-0.007514948106075977,-3.5149560779457603,0.021274353198268973,0.5016514184950446,5.067957042466103,0.04777787902970591,0.005020822063883331,2.442406362816678,0.009496291866033905,0.15031656890820125,3.24212503447629,0.027484258999267513,0.05013317610422528,1.7643072359487109,0.006242581496673897
ofs_onshore,0.5367582714442262,0.5510118630920962,261,CL,3.021915362705832,0.9932830152249981,3.021915362705832,0.92360987369392,0.0033972588700913542,0.36076833693824784,0.00025457563343342946,0.024999596391426567,1.4456605402705758,0.19342734932892253,-0.005401047271368627,-2.6109499188011407,0.009028338686145231,0.6294112287850584,4.322864098448967,0.06179299468742073,0.0047366971854368445,2.1823237273536757,0.006943894737929589,0.26791313447234255,4.034433863909062,0.07173082534846632,0.02758924105266741,0.9944792272428515,0.001553247924360175
minerals_royalty,0.4817999511904948,0.4977445680769411,261,CL,1.1227116641373562,0.268988000476481,1.1227116641373562,0.20110459357094687,0.010132025829265517,2.3192707485681177,0.006723040943006848,-0.003321884611071226,-0.24501131661543873,0.01013992167782705,-0.0023650278441840755,-1.83778980195787,0.005139703089238298,0.31423993867204786,4.755715152297378,0.04573057496043808,0.0037524188764415187,2.369129050488008,0.012938625390419503,0.11342911966583502,3.0742372078402638,0.03817513389839166,0.024528169241606706,1.3623420558620765,0.003645064114630415
midstream_gpt,0.4715993562917328,0.4878578376366026,261,CL,1.389628468066762,0.294571230010802,1.389628468066762,0.2902326714847312,0.004508348998815875,0.8576103385776493,0.0016018347145021394,0.0010567788502042932,0.09098186565441102,0.0012349324607232317,-0.0016917543378801008,-1.1997926005701567,0.0031648241065353818,0.4409092515808038,6.783251507390225,0.10834073757207213,-0.00040061315299212393,-0.26808154250412913,0.0001774701794729811,0.09231007734766991,2.996515549823228,0.030425599289143748,0.017639328713305532,1.0759204669758042,0.0022685506277997113
ofs_offshore,0.4468158617247222,0.46383691213319234,261,CL,2.9201646024734313,0.9738226292180756,2.9201646024734313,0.8994432408469502,-0.0009330861947399293,-0.09800068526531054,1.9456941270345804e-05,0.028008660017530003,1.5444701049442775,0.245984668313132,-0.005337039469252541,-2.919318563479762,0.008931495929113742,0.6462696005607209,3.815048281100879,0.06600384189475059,0.0032035462889299753,1.399218548889473,0.0032179951313462524,0.25325116148368937,3.5192897923041677,0.06493699659434717,0.054585199760837276,1.7249404047503811,0.006160026379463947
midstream_pipelines,0.42400853361973245,0.44173134796989455,261,CL,1.8759694282503523,0.36292937852822543,1.8759694282503523,0.48810739583165513,0.0030851656145411124,0.5571844727297733,0.0008310843510298677,0.006575112518947206,0.6278025716002268,0.05296474113987692,-0.002872447535769159,-2.3313911795430666,0.010108452762894415,0.39170921491768107,5.151196983856588,0.09473848519578076,-0.0012005725901386198,-0.6582959763433618,0.0017658642867396483,0.0913201993518133,2.8727096348312773,0.032989832337091435,0.006209176028362223,0.33592874837343245,0.0003114281087448228
ofs_equipment,0.4236459415188796,0.44137991254906794,261,CL,2.903545491162472,1.1460782987780316,2.903545491162472,1.2661389327278665,0.0016302067775993598,0.18254663505291768,6.036082621360638e-05,0.03742273486593069,1.829571083580763,0.4463064546117399,-0.0055681658554091445,-2.3459244167936326,0.009880671213135584,0.5916246677471635,3.4890816686686197,0.056217697399902726,0.0027833867492557205,1.103191464671845,0.0024689325939701396,0.2247868524430992,2.789289282819628,0.05199599170127895,0.026892404787572658,0.7844672055320895,0.0015196052672575653
upstream_offshore_drillers,0.4220245043055071,0.4398083657114915,261,CL,2.065537578298002,0.5869022513225947,2.065537578298002,0.3956525260503,0.0014897200492137188,0.17733058808631347,6.006323498207245e-05,0.009418079974032639,0.6306011469510906,0.033683443016642375,-0.004324518483734423,-1.880821135390581,0.007101780495150349,0.5367900277912535,3.8332371910160785,0.055146631748461204,0.005198991680788882,2.5689462854697367,0.01026431506712543,0.2302789669085785,4.457126906401653,0.0650228805841326,0.02023428581074521,0.654784425822533,0.0010251251258452073
iocs_integrated,0.42044390625008754,0.43827640144239255,261,CL,1.5709274270253508,0.33687026093685857,1.5709274270253508,0.29742107741050344,0.0019099192336418558,0.3135680490596873,0.00022526483593259458,-0.0008587930557861683,-0.07384739811258018,0.0006390469732667572,-0.003934762123553454,-2.9650279421265453,0.013415062440462264,0.21127507366530698,2.059936472629678,0.019492639085219813,0.0014498919419725464,0.8302667340008565,0.0018214909025282627,0.10589337738596669,2.4328068748589105,0.03137323229521353,0.03632319743713305,1.898691402505924,0.00753760309662934
downstream_refiners,0.383586637700543,0.40255320269437256,261,CL,2.1705410449596854,0.7480354226010354,2.1705410449596854,0.7782060111014496,0.006383346327136296,0.9805940105586521,0.0013352545618938207,0.020038197828701945,0.9937328057989697,0.18461921939655063,-0.00551215207480074,-2.8588390445432865,0.013970179046086046,0.4412185473101637,3.439335528988019,0.0451113158678223,0.006506359069018091,3.188600181893403,0.019464159058888424,0.14808967123735867,2.631769202657211,0.032559300017168585,0.05063645773526351,1.8016949374419033,0.007773124311939889
